Date,P1_QQQ_vs_IWM_Cumulative_Growth,P2_SPY_vs_IWM_Cumulative_Growth,P3_Long_QQQ_Cumulative_Growth,P4_Long_SPY_Cumulative_Growth,P5_Long_IWM_Cumulative_Growth
2023-03-03,112.84,121.42,89.66,96.17,84.87
2023-03-06,115.98,124.48,89.76,96.24,83.63
2023-03-07,115.84,123.74,88.66,94.76,82.66
2023-03-08,116.74,123.96,89.1,94.92,82.7
2023-03-09,118.84,125.84,87.56,93.17,80.4
2023-03-10,121.8,128.72,86.33,91.83,78.08
2023-03-13,126.54,131.7,86.97,91.7,76.81
2023-03-14,127.44,131.3,88.97,93.21,78.23
2023-03-15,131.78,133.34,89.44,92.62,76.94
2023-03-16,134.32,134.1,91.8,94.25,77.99
2023-03-17,138.78,136.4,91.37,92.78,75.89
2023-03-20,136.58,135.72,91.55,93.68,76.88
2023-03-21,135.76,134.66,92.86,94.9,78.29
2023-03-22,138.72,136.94,91.6,93.29,76.07
2023-03-23,142.72,139.1,92.69,93.54,75.45
2023-03-24,141.66,138.62,93.03,94.16,76.13
2023-03-27,138.06,136.78,92.39,94.34,76.97
2023-03-28,137.28,136.62,91.9,94.13,76.87
2023-03-29,138.64,137.24,93.57,95.5,77.74
2023-03-30,140.82,138.7,94.46,96.06,77.63
2023-03-31,140.46,137.84,96.03,97.41,79.06
2023-04-03,139.9,138.52,95.8,97.78,79.09
2023-04-04,142.72,140.92,95.47,97.25,77.71
2023-04-05,142.7,142.36,94.52,96.99,76.95
2023-04-06,143.74,142.84,95.16,97.37,77.06
2023-04-10,141.48,140.9,95.1,97.47,77.89
2023-04-11,138.62,139.38,94.49,97.5,78.5
2023-04-12,138.32,140.02,93.66,97.1,77.93
2023-04-13,139.58,140.02,95.5,98.39,78.97
2023-04-14,141.06,141.4,95.32,98.15,78.23
2023-04-17,138.64,139.54,95.39,98.51,79.24
2023-04-18,139.52,140.54,95.4,98.58,78.9
2023-04-19,139.16,140.24,95.35,98.56,79.0
2023-04-20,138.68,140.18,94.63,98.01,78.59
2023-04-21,138.62,140.08,94.72,98.09,78.7
2023-04-24,138.34,140.42,94.52,98.19,78.64
2023-04-25,139.5,142.18,92.74,96.63,76.7
2023-04-26,142.64,143.26,93.3,96.22,75.96
2023-04-27,145.4,144.56,95.84,98.14,76.98
2023-04-28,145.02,144.5,96.5,98.97,77.66
2023-05-01,144.68,144.18,96.4,98.87,77.7
2023-05-02,147.04,146.04,95.56,97.77,76.11
2023-05-03,145.0,143.92,94.94,97.09,76.39
2023-05-04,146.54,144.74,94.6,96.4,75.54
2023-05-05,146.04,143.68,96.62,98.18,77.33
2023-05-08,147.0,144.2,96.86,98.21,77.16
2023-05-09,146.34,143.92,96.25,97.78,76.92
2023-05-10,147.5,143.84,97.3,98.24,77.32
2023-05-11,149.7,145.04,97.62,98.07,76.72
2023-05-12,149.38,145.18,97.27,97.95,76.57
2023-05-15,148.02,143.44,97.79,98.29,77.5
2023-05-16,151.16,145.02,97.9,97.63,76.37
2023-05-17,149.12,142.98,99.09,98.81,78.07
2023-05-18,151.62,143.68,100.93,99.76,78.55
2023-05-19,152.38,144.6,100.7,99.61,78.07
2023-05-22,150.62,142.24,101.04,99.65,79.02
2023-05-23,149.02,140.94,99.76,98.54,78.65
2023-05-24,150.12,141.62,99.25,97.83,77.82
2023-05-25,156.54,144.92,101.66,98.68,77.21
