"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2024","199.96","199.25","200.41","198.88","20.49M","0.81%"
"04/26/2024","198.36","197.00","198.89","196.42","24.61M","0.96%"
"04/25/2024","196.48","195.44","196.83","193.77","31.92M","-0.61%"
"04/24/2024","197.68","198.17","198.91","196.46","28.79M","-0.45%"
"04/23/2024","198.57","195.26","199.32","195.13","31.84M","1.67%"
"04/22/2024","195.30","194.21","196.29","192.90","31.55M","1.12%"
"04/19/2024","193.14","191.94","194.39","191.34","42.67M","0.16%"
"04/18/2024","192.84","193.70","195.65","192.15","40.24M","-0.08%"
"04/17/2024","193.00","196.47","196.62","192.99","38.59M","-1.06%"
"04/16/2024","195.06","194.41","196.24","193.36","43.27M","-0.37%"
"04/15/2024","195.78","199.37","200.23","194.98","41.12M","-1.46%"
"04/12/2024","198.69","201.23","201.91","197.68","35.39M","-1.78%"
"04/11/2024","202.29","201.97","202.91","200.10","37.18M","0.68%"
"04/10/2024","200.93","201.18","202.93","199.54","57.13M","-2.64%"
"04/09/2024","206.38","206.22","206.97","204.47","23.33M","0.39%"
"04/08/2024","205.57","205.98","206.42","204.58","21.33M","0.55%"
"04/05/2024","204.45","203.14","205.70","202.88","27.57M","0.33%"
"04/04/2024","203.77","208.05","208.55","203.21","32.27M","-1.00%"
"04/03/2024","205.83","203.38","206.40","203.28","27.36M","0.66%"
"04/02/2024","204.49","205.75","205.88","203.40","36.63M","-1.84%"
"04/01/2024","208.32","210.77","210.80","207.96","25.68M","-0.94%"
"03/28/2024","210.30","210.08","211.88","209.84","37.68M","0.31%"
"03/27/2024","209.64","206.80","209.71","206.15","35.03M","2.18%"
"03/26/2024","205.17","207.05","207.63","204.99","23.43M","-0.18%"
"03/25/2024","205.54","205.72","207.01","205.51","20.11M","0.23%"
"03/22/2024","205.07","207.85","208.24","205.07","28.44M","-1.38%"
"03/21/2024","207.94","207.00","208.95","206.84","43.07M","0.89%"
"03/20/2024","206.10","201.52","206.99","201.11","49.61M","1.98%"
"03/19/2024","202.10","199.78","202.75","199.66","29.86M","0.42%"
"03/18/2024","201.25","202.91","203.18","200.90","32.41M","-0.57%"
"03/15/2024","202.41","201.25","203.08","201.13","53.22M","0.19%"
"03/14/2024","202.03","205.05","205.28","200.17","47.51M","-1.79%"
"03/13/2024","205.71","204.87","206.58","204.77","25.14M","0.39%"
"03/12/2024","204.91","205.15","205.92","203.39","34.96M","-0.14%"
"03/11/2024","205.19","205.96","206.84","204.75","24.44M","-0.79%"
"03/08/2024","206.83","208.74","210.41","205.80","41.45M","-0.06%"
"03/07/2024","206.96","206.70","208.10","206.40","28.02M","0.83%"
"03/06/2024","205.25","206.03","206.08","204.08","34.26M","0.75%"
"03/05/2024","203.73","204.30","205.91","203.01","34.16M","-0.96%"
"03/04/2024","205.70","207.03","207.77","205.45","24.79M","-0.09%"
"03/01/2024","205.89","204.53","206.32","203.14","35.16M","1.06%"
"02/29/2024","203.73","205.18","206.04","202.52","40.40M","0.70%"
"02/28/2024","202.32","202.44","203.86","201.87","30.14M","-0.82%"
"02/27/2024","204.00","203.08","204.21","202.54","32.27M","1.42%"
"02/26/2024","201.15","199.69","201.64","199.15","29.12M","0.63%"
"02/23/2024","199.89","199.60","201.13","198.57","37.67M","0.23%"
"02/22/2024","199.44","198.65","200.09","197.81","38.18M","0.76%"
"02/21/2024","197.94","197.66","198.35","196.39","28.82M","-0.47%"
"02/20/2024","198.88","199.15","199.72","198.01","30.55M","-1.38%"
"02/16/2024","201.66","202.12","203.70","201.09","48.35M","-1.36%"
"02/15/2024","204.44","200.99","204.76","200.72","44.93M","2.67%"
"02/14/2024","199.13","197.68","199.79","196.23","43.81M","2.32%"
"02/13/2024","194.61","196.22","197.63","193.06","86.25M","-4.11%"
"02/12/2024","202.96","199.87","203.55","199.84","43.29M","1.82%"
"02/09/2024","199.34","196.92","199.55","196.45","46.11M","1.63%"
"02/08/2024","196.15","193.36","196.37","192.71","35.37M","1.52%"
"02/07/2024","193.22","194.07","194.15","192.04","31.71M","-0.23%"
"02/06/2024","193.67","191.70","193.80","191.02","34.69M","0.90%"
"02/05/2024","191.94","192.47","193.11","190.06","39.75M","-1.27%"
"02/02/2024","194.41","193.24","195.50","192.39","52.84M","-0.53%"
"02/01/2024","195.44","194.31","195.74","191.53","59.48M","1.33%"
"01/31/2024","192.88","197.21","198.94","192.71","68.13M","-2.44%"
"01/30/2024","197.71","198.39","198.93","197.10","33.12M","-0.85%"
